Timestamp	AWP (125 Hz)
222.064	-0.010000
222.072	0.000000
222.08	0.000000
222.088	0.010000
222.096	0.010000
222.104	0.010000
222.112	0.000000
222.12	0.000000
222.128	0.000000
222.136	0.000000
222.144	0.000000
222.152	0.010000
222.16	0.010000
222.168	0.010000
222.176	0.000000
222.184	0.000000
222.192	0.000000
222.2	0.000000
222.208	0.000000
222.216	0.000000
222.224	0.000000
222.232	0.000000
222.24	0.000000
222.248	0.000000
222.256	0.000000
222.264	0.010000
222.272	0.000000
222.28	0.000000
222.288	0.000000
222.296	0.010000
222.304	0.010000
222.312	0.000000
222.32	0.000000
222.328	0.000000
222.336	0.010000
222.344	0.010000
222.352	0.020000
222.36	0.010000
222.368	0.010000
222.376	0.000000
222.384	0.000000
222.392	0.000000
222.4	0.000000
222.408	0.000000
222.416	0.000000
222.424	0.000000
222.432	0.000000
222.44	0.000000
222.448	0.000000
222.456	0.000000
222.464	0.000000
222.472	0.000000
222.48	0.000000
222.488	-0.010000
222.496	-0.010000
222.504	-0.020000
222.512	-0.020000
222.52	-0.020000
222.528	-0.010000
222.536	0.000000
222.544	0.000000
222.552	0.000000
222.56	0.000000
222.568	-0.010000
222.576	-0.010000
222.584	0.000000
222.592	0.000000
222.6	0.000000
222.608	0.000000
222.616	0.000000
222.624	-0.010000
222.632	-0.010000
222.64	-0.020000
222.648	-0.030000
222.656	-0.020000
222.664	-0.020000
222.672	-0.010000
222.68	-0.020000
222.688	-0.040000
222.696	-0.050000
222.704	-0.050000
222.712	-0.040000
222.72	-0.030000
222.728	-0.030000
222.736	-0.040000
222.744	-0.050000
222.752	-0.040000
222.76	-0.040000
222.768	-0.040000
222.776	-0.040000
222.784	-0.040000
222.792	-0.050000
222.8	-0.050000
222.808	-0.070000
222.816	-0.080000
222.824	-0.090000
222.832	-0.080000
222.84	-0.080000
222.848	-0.070000
222.856	-0.070000
222.864	-0.060000
222.872	-0.060000
222.88	-0.060000
222.888	-0.060000
222.896	-0.060000
222.904	-0.060000
222.912	-0.070000
222.92	-0.080000
222.928	-0.080000
222.936	-0.090000
222.944	-0.090000
222.952	-0.080000
222.96	-0.080000
222.968	-0.080000
222.976	-0.080000
222.984	-0.080000
222.992	-0.090000
223	-0.100000
223.008	-0.100000
223.016	-0.090000
223.024	-0.090000
223.032	-0.080000
223.04	-0.070000
223.048	-0.080000
223.056	-0.080000
223.064	-0.090000
223.072	-0.090000
223.08	-0.090000
223.088	-0.090000
223.096	-0.090000
223.104	-0.090000
223.112	-0.090000
223.12	-0.080000
223.128	-0.090000
223.136	-0.090000
223.144	-0.090000
223.152	-0.080000
223.16	-0.080000
223.168	-0.080000
223.176	-0.090000
223.184	-0.100000
223.192	-0.100000
223.2	-0.100000
223.208	-0.090000
223.216	-0.090000
223.224	-0.090000
223.232	-0.090000
223.24	-0.090000
223.248	-0.100000
223.256	-0.100000
223.264	-0.110000
223.272	-0.110000
223.28	-0.120000
223.288	-0.120000
223.296	-0.120000
223.304	-0.140000
223.312	-0.140000
223.32	-0.140000
223.328	-0.140000
223.336	-0.140000
223.344	-0.130000
223.352	-0.130000
223.36	-0.130000
223.368	-0.130000
223.376	-0.120000
223.384	-0.120000
223.392	-0.110000
223.4	-0.110000
223.408	-0.100000
223.416	-0.100000
223.424	-0.110000
223.432	-0.110000
223.44	-0.110000
223.448	-0.110000
223.456	-0.110000
223.464	-0.120000
223.472	-0.120000
223.48	-0.110000
223.488	-0.110000
223.496	-0.110000
223.504	-0.100000
223.512	-0.100000
223.52	-0.090000
223.528	-0.090000
223.536	-0.090000
223.544	-0.090000
223.552	-0.090000
223.56	-0.080000
223.568	-0.080000
223.576	-0.080000
223.584	-0.070000
223.592	-0.080000
223.6	-0.070000
223.608	-0.070000
223.616	-0.070000
223.624	-0.070000
223.632	-0.070000
