Timestamp	AWF (125 Hz)
259.016	13.680000
259.024	13.460000
259.032	13.200000
259.04	13.080000
259.048	13.160000
259.056	13.240000
259.064	12.940000
259.072	12.320000
259.08	11.800000
259.088	11.660000
259.096	11.900000
259.104	12.100000
259.112	12.140000
259.12	12.100000
259.128	12.020000
259.136	11.900000
259.144	11.680000
259.152	11.480000
259.16	11.560000
259.168	11.720000
259.176	11.780000
259.184	11.760000
259.192	11.800000
259.2	12.320000
259.208	13.120000
259.216	13.820000
259.224	14.240000
259.232	14.320000
259.24	14.180000
259.248	14.240000
259.256	14.520000
259.264	14.900000
259.272	15.060000
259.28	14.840000
259.288	14.360000
259.296	14.060000
259.304	14.200000
259.312	14.540000
259.32	14.740000
259.328	14.540000
259.336	14.260000
259.344	14.180000
259.352	14.340000
259.36	14.600000
259.368	14.760000
259.376	14.800000
259.384	14.820000
259.392	14.760000
259.4	14.720000
259.408	14.820000
259.416	15.040000
259.424	15.240000
259.432	15.260000
259.44	14.900000
259.448	14.320000
259.456	13.820000
259.464	13.540000
259.472	13.420000
259.48	13.280000
259.488	13.180000
259.496	13.060000
259.504	12.820000
259.512	12.520000
259.52	12.040000
259.528	11.600000
259.536	11.640000
259.544	11.820000
259.552	11.680000
259.56	11.400000
259.568	10.960000
259.576	10.720000
259.584	10.640000
259.592	10.400000
259.6	10.060000
259.608	9.700000
259.616	9.460000
259.624	9.360000
259.632	9.080000
259.64	8.540000
259.648	7.900000
259.656	7.160000
259.664	6.340000
259.672	5.560000
259.68	4.760000
259.688	3.640000
259.696	2.000000
259.704	-1.260000
259.712	-2.400000
259.72	-2.680000
259.728	-2.820000
259.736	-3.520000
259.744	-4.740000
259.752	-6.300000
259.76	-7.620000
259.768	-8.580000
259.776	-9.360000
259.784	-9.920000
259.792	-10.280000
259.8	-10.360000
259.808	-10.180000
259.816	-10.100000
259.824	-10.320000
259.832	-10.740000
259.84	-11.160000
259.848	-11.540000
259.856	-11.940000
259.864	-12.500000
259.872	-13.140000
259.88	-13.740000
259.888	-14.160000
259.896	-14.540000
259.904	-14.940000
259.912	-15.500000
259.92	-15.960000
259.928	-16.240000
259.936	-16.360000
259.944	-16.400000
259.952	-16.480000
259.96	-16.620000
259.968	-16.680000
259.976	-16.780000
259.984	-17.000000
259.992	-17.240000
260	-17.460000
260.008	-17.440000
260.016	-17.040000
260.024	-16.380000
260.032	-15.900000
260.04	-15.740000
260.048	-15.900000
260.056	-16.080000
260.064	-16.040000
260.072	-15.880000
260.08	-15.600000
260.088	-15.120000
260.096	-14.620000
260.104	-14.300000
260.112	-14.280000
260.12	-14.640000
260.128	-15.160000
260.136	-15.600000
260.144	-16.100000
260.152	-16.560000
260.16	-16.800000
260.168	-16.840000
260.176	-16.500000
260.184	-15.700000
260.192	-14.720000
260.2	-13.840000
260.208	-13.440000
260.216	-13.820000
260.224	-14.600000
260.232	-15.480000
260.24	-16.160000
260.248	-16.420000
260.256	-16.300000
260.264	-15.980000
260.272	-15.620000
260.28	-15.380000
260.288	-15.380000
260.296	-15.480000
260.304	-15.580000
260.312	-15.520000
260.32	-15.380000
260.328	-15.220000
260.336	-15.120000
260.344	-15.120000
260.352	-15.120000
260.36	-15.080000
260.368	-15.040000
260.376	-14.940000
260.384	-14.860000
260.392	-14.820000
260.4	-14.780000
260.408	-14.680000
260.416	-14.580000
260.424	-14.420000
260.432	-14.320000
260.44	-14.220000
260.448	-14.220000
260.456	-14.140000
260.464	-14.020000
260.472	-13.840000
260.48	-13.700000
260.488	-13.580000
260.496	-13.540000
260.504	-13.420000
260.512	-13.200000
260.52	-12.960000
260.528	-12.680000
260.536	-12.440000
260.544	-12.280000
260.552	-12.100000
260.56	-11.980000
260.568	-11.940000
260.576	-12.040000
260.584	-12.140000
260.592	-12.020000
260.6	-11.660000
260.608	-11.160000
260.616	-10.840000
260.624	-10.640000
260.632	-10.500000
260.64	-10.280000
260.648	-10.040000
260.656	-9.820000
260.664	-9.660000
260.672	-9.580000
260.68	-9.600000
260.688	-9.720000
260.696	-9.840000
260.704	-9.920000
260.712	-9.980000
260.72	-9.980000
260.728	-9.980000
260.736	-9.880000
260.744	-9.760000
260.752	-9.720000
260.76	-9.760000
260.768	-9.840000
260.776	-9.840000
260.784	-9.700000
260.792	-9.540000
260.8	-9.420000
260.808	-9.400000
260.816	-9.420000
260.824	-9.340000
260.832	-9.320000
260.84	-9.300000
260.848	-9.240000
260.856	-9.140000
260.864	-8.920000
260.872	-8.560000
260.88	-8.200000
260.888	-7.860000
260.896	-7.480000
260.904	-7.120000
260.912	-6.760000
260.92	-6.600000
260.928	-6.600000
260.936	-6.760000
260.944	-7.060000
260.952	-7.360000
260.96	-7.640000
260.968	-7.880000
260.976	-7.860000
260.984	-7.680000
260.992	-7.500000
261	-7.480000
261.008	-7.620000
261.016	-7.720000
261.024	-7.640000
261.032	-7.420000
261.04	-7.240000
261.048	-7.060000
261.056	-6.780000
261.064	-6.420000
261.072	-6.120000
261.08	-5.980000
261.088	-5.980000
261.096	-5.900000
261.104	-5.700000
261.112	-5.380000
261.12	-5.100000
261.128	-5.060000
261.136	-5.160000
261.144	-5.240000
261.152	-5.240000
261.16	-5.120000
261.168	-4.980000
261.176	-4.900000
261.184	-4.920000
261.192	-4.940000
261.2	-4.860000
261.208	-4.760000
261.216	-4.680000
261.224	-4.620000
261.232	-4.500000
261.24	-4.320000
261.248	-4.200000
261.256	-4.220000
261.264	-4.300000
261.272	-4.320000
261.28	-4.260000
261.288	-4.200000
261.296	-4.100000
261.304	-4.080000
261.312	-4.100000
261.32	-4.140000
261.328	-4.100000
261.336	-4.060000
261.344	-3.980000
261.352	-3.900000
261.36	-3.920000
261.368	-4.020000
261.376	-4.100000
261.384	-4.220000
261.392	-4.240000
261.4	-4.140000
261.408	-3.960000
261.416	-3.660000
261.424	-3.280000
261.432	-2.880000
261.44	-2.640000
261.448	-2.500000
261.456	-2.540000
261.464	-2.500000
261.472	-2.240000
261.48	-1.860000
261.488	-1.300000
261.496	-0.880000
261.504	-0.920000
261.512	-1.000000
261.52	-0.880000
261.528	-0.500000
261.536	0.000000
261.544	0.300000
261.552	0.480000
261.56	0.580000
261.568	0.600000
261.576	0.760000
261.584	1.180000
261.592	1.520000
261.6	1.820000
261.608	2.040000
261.616	2.180000
261.624	2.300000
261.632	2.500000
261.64	2.760000
261.648	3.000000
261.656	3.480000
261.664	4.200000
261.672	5.140000
261.68	6.060000
261.688	6.920000
261.696	7.660000
261.704	8.480000
261.712	9.320000
261.72	10.120000
261.728	10.540000
261.736	10.740000
261.744	10.840000
261.752	10.860000
261.76	10.880000
261.768	10.840000
261.776	10.820000
261.784	10.900000
261.792	11.000000
261.8	10.980000
261.808	10.820000
261.816	10.680000
261.824	10.580000
261.832	10.500000
261.84	10.260000
261.848	9.900000
261.856	9.620000
261.864	9.740000
261.872	10.200000
261.88	10.760000
261.888	11.060000
261.896	11.000000
261.904	10.600000
261.912	10.360000
261.92	10.600000
261.928	11.260000
261.936	11.760000
261.944	11.760000
261.952	11.420000
261.96	11.140000
261.968	11.060000
261.976	10.920000
261.984	10.580000
261.992	10.320000
262	10.400000
262.008	10.700000
262.016	10.900000
262.024	11.020000
262.032	11.060000
262.04	11.080000
262.048	11.120000
262.056	11.020000
262.064	10.880000
262.072	10.800000
262.08	11.040000
262.088	11.400000
262.096	11.700000
262.104	11.740000
262.112	11.720000
262.12	11.880000
262.128	12.240000
262.136	12.640000
262.144	12.780000
262.152	12.760000
262.16	12.640000
262.168	12.660000
262.176	12.840000
262.184	12.900000
262.192	12.840000
262.2	12.700000
262.208	12.660000
262.216	12.800000
262.224	12.980000
262.232	13.040000
262.24	12.860000
262.248	12.680000
262.256	12.640000
262.264	12.900000
262.272	13.320000
262.28	13.600000
262.288	13.640000
262.296	13.580000
262.304	13.660000
262.312	13.880000
262.32	14.120000
262.328	14.180000
262.336	14.080000
262.344	13.880000
262.352	13.600000
262.36	13.260000
262.368	12.900000
262.376	12.720000
262.384	12.820000
262.392	13.120000
262.4	13.360000
262.408	13.320000
262.416	13.020000
262.424	12.760000
262.432	12.860000
262.44	13.380000
262.448	13.960000
262.456	14.280000
262.464	14.180000
262.472	14.140000
262.48	14.480000
262.488	15.060000
262.496	15.620000
262.504	16.080000
262.512	16.460000
262.52	16.900000
262.528	17.280000
262.536	17.500000
262.544	17.600000
262.552	17.600000
262.56	17.440000
262.568	17.220000
262.576	17.020000
262.584	16.860000
262.592	16.780000
262.6	16.760000
262.608	16.800000
262.616	16.800000
262.624	16.700000
262.632	16.640000
262.64	16.740000
262.648	16.900000
262.656	17.000000
262.664	16.900000
262.672	16.740000
262.68	16.660000
262.688	16.920000
262.696	17.180000
262.704	17.160000
262.712	16.920000
262.72	16.580000
262.728	16.340000
262.736	16.200000
262.744	15.900000
262.752	15.400000
262.76	15.000000
262.768	14.740000
262.776	14.700000
262.784	14.660000
262.792	14.540000
262.8	14.320000
262.808	14.060000
262.816	13.780000
262.824	13.520000
262.832	13.340000
262.84	13.280000
262.848	13.180000
262.856	12.980000
262.864	12.780000
262.872	12.580000
262.88	12.640000
262.888	13.060000
262.896	13.680000
262.904	14.180000
262.912	14.520000
262.92	14.580000
262.928	14.320000
262.936	14.080000
262.944	13.980000
262.952	14.080000
262.96	14.200000
262.968	14.220000
262.976	13.960000
262.984	13.620000
262.992	13.500000
263	13.460000
263.008	13.280000
263.016	12.780000
263.024	11.920000
263.032	11.000000
263.04	10.300000
263.048	9.800000
263.056	9.360000
263.064	8.840000
263.072	8.140000
263.08	7.280000
263.088	6.300000
263.096	5.160000
263.104	3.980000
263.112	2.760000
263.12	0.700000
263.128	-1.760000
263.136	-2.680000
263.144	-3.380000
263.152	-4.380000
263.16	-5.880000
263.168	-7.520000
263.176	-8.840000
263.184	-9.800000
263.192	-10.520000
263.2	-11.040000
263.208	-11.460000
263.216	-11.780000
263.224	-12.060000
263.232	-12.380000
263.24	-12.620000
263.248	-13.000000
263.256	-13.340000
263.264	-13.640000
263.272	-13.860000
263.28	-13.980000
263.288	-14.040000
263.296	-14.040000
263.304	-14.060000
263.312	-14.100000
263.32	-14.180000
263.328	-14.120000
263.336	-13.960000
263.344	-13.840000
263.352	-14.020000
263.36	-14.360000
263.368	-14.780000
263.376	-15.180000
263.384	-15.600000
263.392	-16.040000
263.4	-16.540000
263.408	-16.880000
263.416	-16.940000
263.424	-16.560000
263.432	-15.940000
263.44	-15.700000
263.448	-16.320000
263.456	-17.400000
263.464	-18.200000
263.472	-18.480000
263.48	-18.260000
263.488	-17.940000
263.496	-17.780000
263.504	-17.840000
263.512	-18.000000
263.52	-18.140000
263.528	-18.160000
263.536	-17.940000
263.544	-17.520000
263.552	-17.000000
263.56	-16.560000
263.568	-16.560000
263.576	-17.060000
263.584	-17.680000
263.592	-18.100000
263.6	-18.180000
263.608	-18.140000
263.616	-17.780000
263.624	-16.840000
263.632	-15.380000
263.64	-13.800000
263.648	-13.160000
263.656	-14.180000
263.664	-15.880000
263.672	-17.300000
263.68	-17.880000
263.688	-17.360000
263.696	-16.220000
263.704	-15.400000
263.712	-15.720000
263.72	-16.840000
263.728	-17.980000
263.736	-18.500000
263.744	-18.360000
263.752	-17.540000
263.76	-16.000000
263.768	-14.340000
263.776	-13.680000
263.784	-14.440000
263.792	-15.900000
263.8	-16.700000
263.808	-16.640000
263.816	-16.120000
263.824	-15.600000
263.832	-15.360000
263.84	-15.320000
263.848	-15.240000
263.856	-15.240000
263.864	-15.280000
263.872	-15.260000
263.88	-15.100000
263.888	-14.660000
263.896	-14.140000
263.904	-13.840000
263.912	-13.620000
263.92	-13.360000
263.928	-13.060000
263.936	-12.800000
263.944	-12.680000
263.952	-12.660000
263.96	-12.560000
263.968	-12.500000
263.976	-12.620000
263.984	-12.800000
263.992	-12.840000
264	-12.780000
264.008	-12.700000
264.016	-12.640000
264.024	-12.700000
264.032	-12.660000
264.04	-12.460000
264.048	-12.200000
264.056	-12.040000
264.064	-12.000000
264.072	-11.980000
264.08	-11.860000
264.088	-11.640000
264.096	-11.540000
264.104	-11.560000
264.112	-11.540000
264.12	-11.360000
264.128	-11.100000
264.136	-10.840000
264.144	-10.520000
264.152	-10.180000
264.16	-9.780000
264.168	-9.440000
264.176	-9.240000
264.184	-9.060000
264.192	-8.800000
264.2	-8.660000
264.208	-8.720000
264.216	-8.940000
264.224	-9.100000
264.232	-9.220000
264.24	-9.300000
264.248	-9.340000
264.256	-9.420000
264.264	-9.400000
264.272	-9.360000
264.28	-9.280000
264.288	-9.220000
264.296	-9.140000
264.304	-9.040000
264.312	-8.940000
264.32	-8.740000
264.328	-8.480000
264.336	-8.180000
264.344	-8.000000
264.352	-8.040000
264.36	-8.120000
264.368	-8.020000
264.376	-7.640000
264.384	-7.100000
264.392	-6.620000
264.4	-6.620000
264.408	-6.920000
264.416	-7.220000
264.424	-7.220000
264.432	-6.940000
264.44	-6.580000
264.448	-6.260000
264.456	-6.180000
264.464	-6.260000
264.472	-6.320000
264.48	-6.360000
264.488	-6.360000
264.496	-6.260000
264.504	-6.120000
264.512	-5.980000
264.52	-5.760000
264.528	-5.600000
264.536	-5.560000
264.544	-5.600000
264.552	-5.680000
264.56	-5.800000
264.568	-5.740000
264.576	-5.600000
264.584	-5.460000
264.592	-5.260000
264.6	-5.140000
264.608	-5.160000
264.616	-5.200000
264.624	-5.220000
264.632	-5.120000
264.64	-4.860000
264.648	-4.640000
264.656	-4.820000
264.664	-5.140000
264.672	-5.360000
264.68	-5.200000
264.688	-4.680000
264.696	-4.160000
264.704	-4.020000
264.712	-4.200000
264.72	-4.440000
264.728	-4.540000
264.736	-4.320000
264.744	-3.880000
264.752	-3.440000
264.76	-3.260000
264.768	-3.360000
264.776	-3.680000
264.784	-4.000000
264.792	-4.100000
264.8	-4.060000
264.808	-4.040000
264.816	-4.160000
264.824	-4.480000
264.832	-4.920000
264.84	-5.280000
264.848	-5.440000
264.856	-5.440000
264.864	-5.240000
264.872	-4.980000
264.88	-4.760000
264.888	-4.640000
264.896	-4.580000
264.904	-4.440000
264.912	-4.340000
264.92	-4.240000
264.928	-4.100000
264.936	-3.940000
264.944	-3.740000
264.952	-3.660000
264.96	-3.520000
264.968	-3.280000
264.976	-2.900000
264.984	-2.540000
264.992	-2.260000
265	-2.180000
265.008	-2.200000
265.016	-2.300000
265.024	-2.540000
265.032	-2.700000
265.04	-2.800000
265.048	-2.820000
265.056	-2.820000
265.064	-2.860000
265.072	-2.920000
265.08	-2.960000
265.088	-3.040000
265.096	-3.260000
265.104	-3.580000
265.112	-3.920000
265.12	-4.060000
265.128	-3.940000
265.136	-3.640000
265.144	-3.280000
265.152	-3.000000
265.16	-2.880000
265.168	-2.900000
265.176	-2.880000
265.184	-2.760000
265.192	-2.520000
265.2	-2.220000
265.208	-2.040000
265.216	-2.000000
265.224	-2.020000
265.232	-2.100000
265.24	-2.160000
265.248	-2.140000
265.256	-2.100000
265.264	-2.060000
265.272	-2.120000
265.28	-2.200000
265.288	-2.300000
265.296	-2.280000
265.304	-2.220000
265.312	-2.120000
265.32	-2.060000
265.328	-2.060000
265.336	-2.100000
265.344	-2.200000
265.352	-2.260000
265.36	-2.220000
265.368	-2.180000
265.376	-2.160000
265.384	-2.100000
265.392	-2.080000
265.4	-1.980000
265.408	-1.760000
265.416	-1.620000
265.424	-1.480000
265.432	-1.340000
265.44	-1.140000
265.448	-1.040000
265.456	-1.000000
265.464	-1.040000
265.472	-0.940000
265.48	-0.360000
265.488	0.700000
265.496	1.720000
265.504	2.220000
265.512	2.480000
265.52	2.700000
265.528	2.960000
265.536	3.280000
265.544	3.500000
265.552	3.620000
265.56	3.880000
265.568	4.360000
265.576	5.000000
265.584	5.760000
265.592	6.400000
265.6	6.860000
265.608	7.060000
265.616	7.160000
265.624	7.420000
265.632	8.040000
265.64	8.580000
265.648	8.780000
265.656	8.520000
265.664	8.300000
265.672	8.600000
265.68	9.280000
265.688	9.780000
265.696	10.040000
265.704	10.080000
265.712	10.340000
265.72	10.820000
265.728	11.240000
265.736	11.480000
265.744	11.760000
265.752	12.040000
265.76	12.320000
265.768	12.520000
265.776	12.740000
265.784	13.280000
265.792	14.080000
265.8	14.800000
265.808	15.280000
265.816	15.540000
265.824	15.660000
265.832	15.700000
265.84	15.620000
265.848	15.560000
265.856	15.520000
265.864	15.500000
265.872	15.460000
265.88	15.400000
265.888	15.320000
265.896	15.260000
265.904	15.080000
265.912	14.780000
265.92	14.700000
265.928	14.760000
265.936	14.720000
265.944	14.580000
265.952	14.340000
265.96	14.300000
265.968	14.400000
265.976	14.380000
265.984	14.340000
265.992	14.380000
266	14.720000
266.008	15.140000
266.016	15.100000
266.024	14.560000
266.032	14.040000
266.04	13.940000
266.048	14.060000
266.056	13.960000
266.064	13.580000
266.072	13.200000
266.08	13.220000
266.088	13.440000
266.096	13.440000
266.104	13.380000
266.112	13.420000
266.12	13.580000
266.128	13.660000
266.136	13.440000
266.144	13.180000
266.152	13.220000
266.16	13.540000
266.168	14.020000
266.176	14.520000
266.184	14.820000
266.192	15.020000
266.2	15.160000
266.208	15.200000
266.216	15.280000
266.224	15.480000
266.232	15.520000
266.24	15.580000
266.248	15.760000
266.256	15.940000
266.264	16.180000
266.272	16.420000
266.28	16.600000
266.288	16.640000
266.296	16.440000
266.304	16.160000
266.312	16.080000
266.32	16.340000
266.328	16.680000
266.336	16.760000
266.344	16.620000
266.352	16.380000
266.36	16.360000
266.368	16.640000
266.376	17.020000
266.384	17.160000
266.392	17.040000
266.4	16.820000
266.408	16.720000
266.416	16.820000
266.424	16.920000
266.432	16.760000
266.44	16.540000
266.448	16.420000
266.456	16.440000
266.464	16.440000
266.472	16.540000
266.48	16.700000
266.488	16.900000
266.496	16.960000
266.504	16.780000
266.512	16.480000
266.52	16.280000
266.528	16.500000
266.536	16.900000
266.544	17.180000
266.552	17.320000
266.56	17.360000
266.568	17.600000
266.576	18.080000
266.584	18.640000
266.592	19.120000
266.6	19.500000
266.608	19.780000
266.616	20.060000
266.624	20.300000
266.632	20.400000
266.64	20.300000
266.648	20.040000
266.656	19.800000
266.664	19.780000
266.672	19.860000
266.68	19.820000
266.688	19.860000
266.696	20.020000
266.704	20.240000
266.712	20.340000
266.72	20.180000
266.728	19.900000
266.736	19.780000
266.744	19.920000
266.752	20.100000
266.76	20.180000
266.768	20.180000
266.776	20.060000
266.784	19.920000
266.792	19.760000
266.8	19.640000
266.808	19.480000
266.816	19.200000
266.824	18.840000
266.832	18.400000
266.84	18.040000
266.848	17.900000
266.856	17.680000
266.864	17.340000
266.872	16.940000
266.88	16.540000
266.888	16.280000
266.896	16.140000
266.904	16.020000
266.912	15.820000
266.92	15.740000
266.928	15.600000
266.936	15.240000
266.944	14.940000
266.952	14.720000
266.96	14.460000
266.968	14.260000
266.976	13.820000
266.984	13.120000
266.992	12.440000
267	11.660000
267.008	10.760000
267.016	10.000000
267.024	9.280000
267.032	8.360000
267.04	7.420000
267.048	6.220000
267.056	4.740000
267.064	3.140000
267.072	0.700000
267.08	-2.200000
267.088	-2.960000
267.096	-3.420000
267.104	-4.380000
267.112	-6.040000
267.12	-7.840000
267.128	-9.260000
267.136	-10.360000
267.144	-11.320000
267.152	-12.140000
267.16	-12.660000
267.168	-12.840000
267.176	-12.960000
267.184	-13.180000
267.192	-13.720000
267.2	-14.340000
267.208	-14.820000
267.216	-15.120000
267.224	-15.440000
267.232	-16.000000
267.24	-16.860000
267.248	-17.520000
267.256	-17.780000
267.264	-17.500000
267.272	-17.040000
267.28	-17.120000
267.288	-18.080000
267.296	-19.560000
267.304	-20.780000
267.312	-21.200000
267.32	-20.640000
267.328	-19.760000
267.336	-19.540000
267.344	-20.340000
267.352	-21.700000
267.36	-22.540000
267.368	-22.320000
267.376	-21.640000
267.384	-21.320000
267.392	-21.660000
267.4	-22.260000
267.408	-22.180000
267.416	-21.320000
267.424	-20.400000
267.432	-20.100000
267.44	-20.420000
267.448	-20.920000
267.456	-20.940000
267.464	-20.500000
267.472	-19.860000
267.48	-19.040000
267.488	-18.120000
267.496	-17.760000
267.504	-18.360000
267.512	-19.740000
267.52	-20.960000
267.528	-21.420000
267.536	-21.240000
267.544	-20.980000
