Timestamp	Resp (62.5 Hz)
225.904	-0.059714
225.92	-0.066688
225.936	-0.073662
225.952	-0.080953
225.968	-0.090780
225.984	-0.102826
226	-0.113287
226.016	-0.122797
226.032	-0.132624
226.048	-0.143402
226.064	-0.152595
226.08	-0.160203
226.096	-0.165909
226.112	-0.169713
226.128	-0.172566
226.144	-0.173834
226.16	-0.173517
226.176	-0.171932
226.192	-0.170030
226.208	-0.168762
226.224	-0.167494
226.24	-0.165909
226.256	-0.163690
226.272	-0.160520
226.288	-0.156716
226.304	-0.152278
226.32	-0.147840
226.336	-0.143085
226.352	-0.136111
226.368	-0.127552
226.384	-0.118993
226.4	-0.110117
226.416	-0.100290
226.432	-0.089829
226.448	-0.079051
226.464	-0.068273
226.48	-0.059397
226.496	-0.052106
226.512	-0.045132
226.528	-0.038158
226.544	-0.032452
226.56	-0.027697
226.576	-0.023893
226.592	-0.021040
226.608	-0.019455
226.624	-0.018821
226.64	-0.018187
226.656	-0.017553
226.672	-0.016602
226.688	-0.015651
226.704	-0.016919
226.72	-0.019772
226.736	-0.023893
226.752	-0.029282
226.768	-0.036890
226.784	-0.046400
226.8	-0.055593
226.816	-0.064469
226.832	-0.073345
226.848	-0.082855
226.864	-0.092365
226.88	-0.101558
226.896	-0.109166
226.912	-0.114872
226.928	-0.118993
226.944	-0.122163
226.96	-0.123748
226.976	-0.123748
226.992	-0.123748
227.008	-0.123748
227.024	-0.122797
227.04	-0.120895
227.056	-0.118359
227.072	-0.114555
227.088	-0.106947
227.104	-0.095852
227.12	-0.084440
227.136	-0.071760
227.152	-0.053374
227.168	-0.029282
227.184	-0.000435
227.2	0.031265
227.216	0.061063
227.232	0.088959
227.248	0.118440
227.264	0.148555
227.28	0.175500
227.296	0.199592
227.312	0.221148
227.328	0.240485
227.344	0.255384
227.36	0.266479
227.376	0.274721
227.392	0.280744
227.408	0.285182
227.424	0.288352
227.44	0.291522
227.456	0.295009
227.472	0.298813
227.488	0.302617
227.504	0.307372
227.52	0.313078
227.536	0.318467
227.552	0.323539
227.568	0.327977
227.584	0.332098
227.6	0.335268
227.616	0.337804
227.632	0.341291
227.648	0.346046
227.664	0.350484
227.68	0.354922
227.696	0.360311
227.712	0.366968
227.728	0.376161
227.744	0.387256
227.76	0.398034
227.776	0.408495
227.792	0.419590
227.808	0.431319
227.824	0.444316
227.84	0.458581
227.856	0.470627
227.872	0.481088
227.888	0.493768
227.904	0.508667
227.92	0.523566
227.936	0.538465
227.952	0.556217
227.968	0.576505
227.984	0.598695
228	0.621519
228.016	0.641173
228.032	0.658291
228.048	0.674141
228.064	0.689040
228.08	0.701086
228.096	0.710596
228.112	0.716619
228.128	0.718838
228.144	0.716619
228.16	0.710913
228.176	0.704573
228.192	0.697599
228.208	0.690625
228.224	0.683651
228.24	0.676360
228.256	0.669069
228.272	0.663046
228.288	0.657340
228.304	0.651634
228.32	0.645611
228.336	0.640222
228.352	0.635150
228.368	0.630078
228.384	0.624372
228.4	0.619300
228.416	0.615179
228.432	0.612326
228.448	0.611058
228.464	0.611692
228.48	0.613594
228.496	0.615179
228.512	0.615813
228.528	0.616764
228.544	0.618032
228.56	0.619934
228.576	0.621519
228.592	0.621202
228.608	0.618983
228.624	0.615813
228.64	0.612009
228.656	0.609156
228.672	0.607571
228.688	0.607254
228.704	0.607254
228.72	0.606937
228.736	0.606620
228.752	0.609156
228.768	0.613911
228.784	0.619300
228.8	0.625006
228.816	0.630395
228.832	0.635150
228.848	0.638003
